"sample_id","series","title","characteristics","day_estimate","condition"
"GSM3465527","GSE122380","19190_10","individual: 19190,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465528","GSE122380","19190_11","individual: 19190,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465529","GSE122380","19190_12","individual: 19190,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465530","GSE122380","19190_13","individual: 19190,time: differentiation day 13,cell type: differentiating iPSC-derived cardiomyocytes",13,"Embryonic"
"GSM3465531","GSE122380","19190_14","individual: 19190,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465532","GSE122380","19190_15","individual: 19190,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465533","GSE122380","19190_1","individual: 19190,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465534","GSE122380","19190_2","individual: 19190,time: differentiation day 2,cell type: differentiating iPSC-derived cardiomyocytes",2,"Embryonic"
"GSM3465535","GSE122380","19190_3","individual: 19190,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465536","GSE122380","19190_4","individual: 19190,time: differentiation day 4,cell type: differentiating iPSC-derived cardiomyocytes",4,"Embryonic"
"GSM3465537","GSE122380","19190_5","individual: 19190,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465538","GSE122380","19190_6","individual: 19190,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465539","GSE122380","19190_7","individual: 19190,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465540","GSE122380","19190_8","individual: 19190,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465541","GSE122380","19190_9","individual: 19190,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465542","GSE122380","19193_0","individual: 19193,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
"GSM3465543","GSE122380","19193_10","individual: 19193,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465544","GSE122380","19193_11","individual: 19193,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465545","GSE122380","19193_12","individual: 19193,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465546","GSE122380","19193_13","individual: 19193,time: differentiation day 13,cell type: differentiating iPSC-derived cardiomyocytes",13,"Embryonic"
